id,kategoria,ang,pl
91,DISCUSION,we should look at the bigger picture,powinniśmy spojrzeć na szerszy obraz sytuacji
92,POLITICS,policy,polityka / zasady postępowania
93,DISCUSION,what’s your stance?,jakie jest twoje stanowisko?
94,POLITICS,carbon footprint,ślad węglowy
95,GENERAL,superior,lepszy / nadrzędny
96,GENERAL,inferior,gorszy / podrzędny
97,GENERAL,resent,mieć urazę / czuć żal
98,DISCUSION,valid point,trafny argument
99,GENERAL,vitamin deficiency,niedobór witamin
100,GENERAL,maintain a balanced diet,utrzymywać zbilansowaną dietę
101,DISCUSION,that goes without saying,to jest oczywiste
102,DISCUSION,to some extent,do pewnego stopnia
103,GENERAL,inconsiderate,nieuprzejmy / bezmyślny wobec innych
104,GENERAL,immunological diseases,choroby immunologiczne
105,GENERAL,participate,uczestniczyć
106,GENERAL,maintain,utrzymywać / podtrzymywać
107,DISCUSION,take sth. into account,brać coś pod uwagę
108,DISCUSION,personality clashes,konflikty charakterów
109,DISCUSION,survey,ankieta / badanie / sondaż
110,GENERAL,match,dopasować / pasować
111,GENERAL,infighting,wewnętrzne konflikty / walki wewnętrzne
112,LAW,forced eviction,przymusowa eksmisja
113,LAW,last resort,ostateczność / ostatnia deska ratunku
114,GENERAL,problems solved,rozwiązane problemy
115,GENERAL,problems resolved,rozwiązane problemy / konflikty zażegnane
116,GENERAL,flair,smykałka / talent
117,GENERAL,offset by,równoważony przez
118,GENERAL,positively averse,wyjątkowo niechętny
119,GENERAL,needy,wymagający uwagi
120,GENERAL,time-consuming,czasochłonny
121,GENERAL,evolved specifically for this purpose,ewoluował specjalnie w tym celu
122,GENERAL,barely human,ledwo ludzki / nieludzki
123,GENERAL,acclimatized to,przyzwyczajony do
124,GENERAL,emotionally defective,emocjonalnie wybrakowany
125,GENERAL,inheritance,spadek
126,GENERAL,donkey sanctuary,schronisko dla osłów
127,GENERAL,profoundly cynical,głęboko cyniczny
128,GENERAL,let somebody down,zawieść kogoś
129,GENERAL,soft option,łatwe wyjście
130,GENERAL,partial way,wybiórczy sposób
131,GENERAL,frolicking,beztrosko bawiący się
132,GENERAL,without a second thought,bez zastanowienia
133,GENERAL,sentimentality,sentymentalizm
134,GENERAL,cynical,cyniczny
135,GENERAL,gorgeous balls of fluff,urocze kulki futra
136,GENERAL,litter tray,kuweta
137,GENERAL,infestation,plaga / inwazja
138,GENERAL,obsessed with,mieć obsesję na punkcie
139,GENERAL,attacked or bitten by,zostać zaatakowanym lub pogryzionym przez
140,GENERAL,allergic to bee or wasp stings,uczulony na użądlenia pszczół lub os
141,GENERAL,shellfish,owoce morza / skorupiaki
142,IDIOM,like water off a duck’s back,spływa po kimś jak po kaczce
143,IDIOM,like a fish out of water,czuć się jak ryba bez wody
144,IDIOM,don’t count your chickens before they hatch,nie chwal dnia przed zachodem słońca
145,IDIOM,dark horse,czarny koń / ktoś tajemniczy
146,IDIOM,the lion’s share,lwia część
147,IDIOM,smell a rat,wyczuwać podstęp
148,IDIOM,kill two birds with one stone,upiec dwie pieczenie na jednym ogniu
149,IDIOM,bark is worse than bite,ktoś więcej grozi niż robi
150,IDIOM,tail between his legs,ze spuszczonym ogonem / zawstydzony
151,IDIOM,cute as a kitten,słodki jak kotek
152,IDIOM,rest in peace,spoczywaj w pokoju
153,IDIOM,a soft option,łatwizna / łatwe rozwiązanie
154,GENERAL,appreciate the opportunity,doceniać możliwość
155,GENERAL,tiring and stressful,męczący i stresujący
156,GENERAL,affect personal life,wpływać na życie prywatne
157,GENERAL,venue,miejsce wydarzenia
158,GENERAL,facilities,udogodnienia / zaplecze
159,GENERAL,excursion,wycieczka
160,GENERAL,conference venue,miejsce konferencji
161,GENERAL,off-limits,niedostępny / zakazany
162,GENERAL,freshen up,odświeżyć się
163,GENERAL,show somebody around,oprowadzić kogoś
164,GENERAL,drop somebody off,podrzucić / odstawić kogoś
165,GENERAL,look around,rozejrzeć się
166,GENERAL,meet up with,spotkać się z
167,GENERAL,get around the site,poruszać się po obiekcie
168,GENERAL,clear it with Facilities,uzgodnić to z administracją
169,LAW,punishment,kara
170,LAW,prison sentence,wyrok więzienia
171,LAW,deterrent,środek odstraszający
172,LAW,offence,przestępstwo
173,LAW,plead guilty,przyznać się do winy
174,LAW,plead not guilty,nie przyznać się do winy
175,LAW,defendant,oskarżony
176,LAW,serial offender,recydywista / seryjny przestępca
177,LAW,mitigating circumstances,okoliczności łagodzące
178,LAW,diminished responsibility,ograniczona poczytalność
179,LAW,non-custodial sentence,kara bez pozbawienia wolności
180,LAW,fine,grzywna
181,LAW,community service,prace społeczne
182,LAW,custodial sentence,kara więzienia
183,LAW,life sentence,kara dożywocia
184,LAW,capital punishment,kara śmierci
185,LAW,death penalty,kara śmierci
186,LAW,abolished,zniesiony
187,LAW,execute someone,wykonać egzekucję na kimś
188,LAW,war crimes,zbrodnie wojenne
189,LAW,electric chair,krzesło elektryczne
190,LAW,hanging,powieszenie
191,LAW,lethal injection,śmiertelny zastrzyk
192,LAW,inmate,więzień / osadzony
193,LAW,prison officer,funkcjonariusz więzienny
194,LAW,solitary confinement,izolatka
195,LAW,convicted,skazany
196,LAW,maximum security prison,więzienie o zaostrzonym rygorze
197,LAW,locked up,zamknięty / osadzony
198,LAW,surveillance,nadzór / monitoring
199,LAW,open prison,więzienie otwarte
200,LAW,rehabilitation,resocjalizacja
201,LAW,reoffend,popełnić przestępstwo ponownie
202,LAW,maintain order,utrzymywać porządek
203,LAW,deprived of recreation,pozbawiony rozrywki
204,LAW,parole,zwolnienie warunkowe
205,LAW,electronic tag,elektroniczna bransoletka
206,LAW,reintegrate into society,ponownie zintegrować się ze społeczeństwem
207,LAW,retrial,ponowny proces
208,LAW,wrongfully convicted,niesłusznie skazany
209,LAW,pardon,ułaskawienie
210,LAW,sentence is quashed,wyrok zostaje unieważniony
211,LAW,compensation,odszkodowanie
212,LAW,appeal system,system apelacyjny
213,LAW,criminal record,kartoteka kryminalna
214,LAW,commit a crime,popełnić przestępstwo
215,LAW,be released early,zostać zwolnionym wcześniej
216,LAW,abide by conditions,przestrzegać warunków
217,LAW,substantial compensation,wysokie odszkodowanie
218,LAW,trial,proces sądowy
219,LAW,allegations,pomówienia / oskarżenia
220,LAW,the parties,strony w procesie
221,LAW,the audience,widownia na sali sądowej
222,LAW,the accused,oskarżony
223,LAW,the court,sąd
224,LAW,to accuse somebody of something,oskarżyć kogoś o coś
225,LAW,courtroom,sala sądowa
226,LAW,defend,bronić
227,LAW,jury,ława przysięgłych
228,LAW,defendant,oskarżony / pozwany
229,LAW,verdict,werdykt
230,LAW,solicitor,adwokat / radca prawny
231,LAW,advocate,adwokat / obrońca
232,LAW,barrister,adwokat występujący przed sądem
233,LAW,sentence,wyrok
234,LAW,prosecutor,oskarżyciel / prokurator
235,LAW,to sentence somebody,skazać kogoś
236,LAW,to prosecute,oskarżać / ścigać prawnie
237,LAW,standing regulations,obowiązujące przepisy
238,LAW,witness,świadek
239,LAW,complaint,skarga
240,LAW,to examine a witness,przesłuchiwać świadka
241,LAW,to complain,skarżyć się / użalać się
242,LAW,to hear a case,wysłuchać sprawy
243,LAW,cassation office,urząd kasacyjny
244,LAW,to file a motion,złożyć wniosek
245,LAW,request,prośba / wniosek
246,LAW,to sue somebody,pozwać kogoś
247,LAW,groundless,bezpodstawny
248,LAW,charge somebody with something,oskarżyć kogoś o coś / postawić zarzuty
249,LAW,justification,uzasadnienie
250,LAW,charges,zarzuty
251,LAW,to pronounce the sentence,ogłosić wyrok
252,GENERAL,bond with,zżyć się z / nawiązać więź z
253,GENERAL,aversion to,niechęć do
254,GENERAL,single people,samotni ludzie
255,GENERAL,divorcees,rozwodnicy
256,GENERAL,enthusiastic crowds,entuzjastyczne tłumy
257,GENERAL,sarcastic,sarkastyczny
258,IDIOM,get the wrong end of the stick,źle coś zrozumieć
259,IDIOM,get the impression,odnieść wrażenie
260,IDIOM,get on somebody’s nerves,działać komuś na nerwy
261,IDIOM,get the message,domyślić się aluzji / zrozumieć przekaz
262,IDIOM,get your own way,postawić na swoim
263,IDIOM,get anywhere with something,robić postępy w czymś
264,IDIOM,get a life,ogarnąć się / znaleźć sobie życie
265,IDIOM,get on like a house on fire,świetnie się dogadywać
266,IDIOM,get your act together,wziąć się w garść
267,IDIOM,get a move on,pospieszyć się
268,IDIOM,get on with,kontynuować / zabrać się za
269,IDIOM,get away with,ujść komuś na sucho
270,IDIOM,get behind with,mieć zaległości
271,IDIOM,get out of,wykręcić się od
272,IDIOM,get somebody down,przygnębiać kogoś
273,IDIOM,get over,otrząsnąć się po czymś
274,IDIOM,get through to somebody,dotrzeć do kogoś
275,IDIOM,get by on,utrzymać się za
276,IDIOM,get back to somebody,oddzwonić / wrócić do kogoś z odpowiedzią
277,IDIOM,get together with,zejść się / zacząć być razem
278,IDIOM,get into,dostać się do / zacząć karierę w
279,IDIOM,get your eyes tested,zbadać wzrok
280,IDIOM,get something delivered,mieć coś dostarczone
281,IDIOM,get something stolen,mieć coś skradzione
282,IDIOM,get hurt in a crash,zostać rannym w wypadku
283,IDIOM,get into trouble,wpaść w kłopoty
284,IDIOM,get hold of somebody,skontaktować się z kimś
285,IDIOM,get rid of,pozbyć się
286,IDIOM,get out of the way,zejść z drogi
287,IDIOM,get the wrong end of the stick,źle coś zrozumieć
288,IDIOM,get the chance,dostać szansę
289,IDIOM,get the joke,zrozumieć żart
290,IDIOM,get his own back,odegrać się / zemścić się
291,IDIOM,get to know somebody,poznać kogoś lepiej
292,IDIOM,get the impression,odnieść wrażenie
